scenario,status,details,timestamp
mqtt_broker_api,PASS,MQTT Broker configured successfully via API,2025-03-12 13:07:45
data_to_server_api,PASS,"{'success': True, 'details': {'mqtt_broker': {'success': True, 'details': {'mqtt_broker_enabled': True, 'mqtt_port_correct': True, 'mqtt_anonymous_enabled': True, 'mqtt_process_running': True, 'raw_results': {'mqtt_enabled': ""mosquitto.mqtt.enabled='1'"", 'mqtt_port': ""mosquitto.mqtt.local_port='1883'"", 'mqtt_port_value': '1883', 'expected_port': '1883', 'mqtt_anonymous': ""mosquitto.mqtt.anonymous_access='1'"", 'mqtt_process': '19513 root      4896 S    /usr/sbin/mosquitto -c /tmp/mosquitto.conf\n20387 root      1920 S    ash -c ps | grep mosquitto\n20389 root      1920 S    grep mosquitto'}}}, 'data_to_server': {'success': True, 'details': {'dts_name_correct': True, 'dts_enabled': True, 'mqtt_server_correct': True, 'mqtt_topic_correct': True, 'mqtt_client_id_correct': True, 'mqtt_qos_correct': True, 'mqtt_message_received': False, 'raw_results': {'sections': {'collection': '1'}, 'dts_instance': ""data_sender.1.name='test_instance3'"", 'dts_name_value': 'test_instance3', 'expected_name': 'test_instance3', 'dts_enabled': ""data_sender.1.enabled='1'"", 'mqtt_server': ""data_sender.2.mqtt_host='test.mosquitto.org'"", 'actual_server': 'test.mosquitto.org', 'expected_server': 'test.mosquitto.org', 'mqtt_topic': ""data_sender.2.mqtt_topic='test/topic123'"", 'actual_topic': 'test/topic123', 'expected_topic': 'test/topic123', 'mqtt_client_id': ""data_sender.2.mqtt_client_id='test_client'"", 'actual_client_id': 'test_client', 'expected_client_id': 'test_client', 'mqtt_qos': ""data_sender.2.mqtt_qos='2'"", 'actual_qos': '2', 'expected_qos': '2', 'mqtt_message': False}}}}}",2025-03-12 13:07:45
